,global_id,Наименование_поддержанной_компании,Отрасль,Подотрасль,Технология_(1_уровень),Технология_(2_уровень),Технология_(3_уровень),Сайт,Описание_компании
2701,1047548,"ООО ""СИТИЭЙР""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Моделирование процессов реального мира (цифровые двойники),"Моделирование экологических систем (экология, климат, и др.) и влияния человека",https://cityair.io/,"ООО«СитиЭйр» – российская технологическая компания, занимающаяся разработкой и производством современных решений для мониторинга состояния окружающей среды, в первую очередь для мониторинга качества атмосферного воздуха. ООО «СитиЭйр» с момента основания является участником проекта создания и обеспечения функционирования инновационного центра «Сколково», ведет совместные исследования с передовыми научными центрами в России. Решения компании используются более чем в 20 регионах Российской Федерац"
2488,1043926,"ООО ""СКАЙ""",ЖКХ,Инженерно-техническое обслуживание и эксплуатация зданий,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления домом (BMS),http://skaitelehouse.com,"Компания ООО Скай является разработчиком программного комплекса Скай Телехаус, который позволяет реализовать единую систему управления жилым домом: видеонаблюдение, шлагбаум, двери, контроль за детской площадкой и автостоянкой. Передача данных счетчиков по эл-ву и водоснабжению. Передача заявок в управляющую компанию. В перспективе есть возможность расширения ПО за мониторингом здоровья жителей дома."
3574,1061499,"ООО ""СКАЙ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,"Рекомендательные системы, персональные помощники и агрегаторы",Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),Не указано,"ООО «Скай» объединяет лучшие передовые направления, как: наука, разработка ПО, коммуникации, облачные технологии, большие данные, искусственный интеллект, блокчейн, инженерные разработки, сети пятого поколения, строительство с применением информационного моделирования зданий (BIM), экология, акселерация стартапов."
1471,1026446,"ООО ""СКАЙЛАЙН""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,http://innovation-tech.ru/skilain,"ООО «Скайлайн» успешно выполнило НИОКР по следующим темам:
1. «Разработка системы контроля сельскохозяйственных угодий (для беспилотного воздушного судна) на предмет передвижения животных и 
людей», Договор 464ГРНТИС5/44746 от 27.12.2018, Развитие-НТИ IV/Аэронет«Разработка системы автоматической посадки для навигационного 
комплекса обеспечения автономного маловысотного полёта», Договор 11ГРНТИС5/25969от 22.12.2016, Развитие-НТИ I/Аэронет."
3703,1063681,"ООО ""СКАЙЛАЙН""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Моделирование процессов реального мира (цифровые двойники),"Цифровое проектирование, математическое моделирование и управление жизненным циклом изделия или продукции (Smart Design)",http://skyline-ryb.ukit.me/,"ООО «Скайлайн» успешно выполнило НИОКР по следующим темам:
1. «Разработка системы контроля сельскохозяйственных угодий (для беспилотного воздушного судна) на предмет передвижения животных и 
людей», Договор 464ГРНТИС5/44746 от 27.12.2018, Развитие-НТИ IV/Аэронет«Разработка системы автоматической посадки для навигационного 
комплекса обеспечения автономного маловысотного полёта», Договор 11ГРНТИС5/25969от 22.12.2016, Развитие-НТИ I/Аэронет."
1593,1028483,"ООО ""СКАЙТРЭК""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Искусственный интеллект,Компьютерное зрение и обработка изображений,http://skytracking.ru/,"ООО «Скайтрэк» (www.skytracking.ru, ИНН 7731467354), российский разработчик цифровых решений для безопасности транспорта, объектов недвижимости, городской инфраструктуры на базе видеоанализа и искусственного интеллекта, резидент «Сколково»."
2842,1049805,"ООО ""СКАЙТРЭК""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Искусственный интеллект,Компьютерное зрение и обработка изображений,http://skytracking.ru/,"ООО «Скайтрэк» (www.skytracking.ru, ИНН 7731467354), российский разработчик цифровых решений для безопасности транспорта, объектов недвижимости, городской инфраструктуры на базе видеоанализа и искусственного интеллекта, резидент «Сколково»."
1260,1024035,"ООО ""СМАРТ ТЕХНОЛОДЖИС""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Прочая связь и телеметрия,Обработка и преобразование информации,Передача данных,Технологии оптимизации передачи данных,http://smarttech76.ru/,"Начало деятельности ООО «СмартТехнолоджис» было положено в 2012 г. Организация занимается научными исследованиями и разработками в области естественных и технических наук.
Наименование продукции/услуг:
- Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги. Разработка мобильных энергоустановок на базе различных топливных элементов.
- Система информационного обмена и управления движением группой БВС"
3128,1054514,"ООО ""СМАРТ ТЕХНОЛОДЖИС""","ТРАНСПОРТ, ХРАНЕНИЕ И ЛОГИСТИКА",Инфраструктура для воздушных перевозок,Обработка и преобразование информации,Передача данных,Технологии оптимизации передачи данных,http://smarttech76.ru/,"Начало деятельности ООО «СмартТехнолоджис» было положено в 2012 г. Организация занимается научными исследованиями и разработками в области естественных и технических наук.
Наименование продукции/услуг:
- Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги. Разработка мобильных энергоустановок на базе различных топливных элементов.
- Система информационного обмена и управления движением группой БВС"
3273,1056815,"ООО ""СМАРТС-КВАНТТЕЛЕКОМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Проводная связь,Обработка и преобразование информации,Передача данных,Квантовая криптография и защищенные коммуникации (Quantum cryptography and secure communications),www.qcphotonics.com,"Компания проводит исследования, ведет прикладные разработки, создает решения в области квантовых коммуникаций. 
Примеры производимых продуктов: квантовая криптографическая система выработки и распределения ключей, система квантового распределения ключей на боковых частотах, детектор одиночных фотонов, СВЧ интегрально оптические модуляторы."
425,811240,"ООО ""СМАРТС-КВАНТТЕЛЕКОМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Передача данных,Квантовая криптография и защищенные коммуникации (Quantum cryptography and secure communications),http://quanttelecom.ru,"ООО «СМАРТС-Кванттелеком» проводит исследования прикладные разработки в области квантовых коммуникаций.В эпоху тотальной цифровизации проблема безопасности и конфиденциальности данных стала одной из ключевых для трансформации бизнеса и целых отраслей экономики. Компания предлагает технологию криптографического шифрования передаваемых данных на основе квантов света – фотонов.Такой способ защиты решает задачи тех, у кого время секретности информации значительно превышает время ее раскодирования:– "
488,811307,"ООО ""СМД ""ИНТЭКО""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Электрические машины,https://navigator.sk.ru/orn/1123561,"Компания СМД ИНТЭКО решает проблему подбора малогабаритных установок электроприводного центробежного насоса (далее – УЭЦН) и выбора эффективной технологии добычи нефти в широком диапазоне осложняющих факторов пластово-скважинных характеристик. Решение позволяет снизить металлоемкость, повысить мобильность, увеличить КИН, получать более достоверную информацию, необходимую для управления процессами разработки месторождений при проведении геофизических исследований.Сегодня основным направлением дея"
2959,1051839,"ООО ""СМД ""ИНТЭКО""",ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,Добыча нефти и природного газа,Синтез материальных объектов,Новые производственные процессы,Процессы и технологии добычи полезных ископаемых,https://www.als-inteco.ru/,"Основным направлением деятельности является производство и сервисное обслуживание малогабаритных установок электроприводного центробежного насоса (далее – УЭЦН). 
В настоящее время компанией «СМД ИНТЭКО» организован полный цикл производства УЭЦН – разработка, производство, сборка, испытания и сервис.
Для масштабирования данного проекта в г.Уфа ведется строительство завода площадью 10000 м2."
3529,1060847,"ООО ""СМТТЕХ""",ТОРГОВЛЯ,Торговля оптовая,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),www.smttech.ru,"Компания ООО ""СМТтех"" занимается поставками комплексных решений для производства электроники. В нашем каталоге можно найти полный спектр оборудования для производства электроники, а также оборудование, предназначенное для автоматизации процессов сборки, инспекции и тестирования продукции и т. д. Помимо этого, мы осуществляем:

Поставку запасных частей, комплектующих и расходных материалов;
Сервисное обслуживание и ремонт поставляемого оборудования;
Шеф-монтаж, установку, пусконаладку оборудовани"
1758,1031325,"ООО ""СМТТЕХ""",ТОРГОВЛЯ,Торговля оптовая,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),www.smttech.ru,"Компания ООО ""СМТтех"" занимается поставками комплексных решений для производства электроники. В нашем каталоге можно найти полный спектр оборудования для производства электроники, а также оборудование, предназначенное для автоматизации процессов сборки, инспекции и тестирования продукции и т. д. Помимо этого, мы осуществляем:

Поставку запасных частей, комплектующих и расходных материалов;
Сервисное обслуживание и ремонт поставляемого оборудования;
Шеф-монтаж, установку, пусконаладку оборудовани"
2736,1048102,"ООО ""СОЙМИНТЕХ""",ЭНЕРГЕТИКА,Альтернативная энергетика,Преобразование и хранение энергии,Технологии генерации электроэнергии,Термоэлектрические и пьезоэлектрические технологии генерации энергии,https://soyminteh.ru,"ООО «Сойминтех» создано 10 января 2017 года. 
Основной вид деятельности: 72.19 Научные исследования и разработки в области естественных и технических наук.
ООО «Сойминтех» специализируется на проектировании и выполнении работ по проектам электроснабжения:
-Проектирование релейной защиты и автоматики;
-Проектирование телемеханизации;
-Проектирование автоматизации;
-Проектирование АСКУЭ;
-Проектирование электроснабжения;
-Проектирование электрического освещения;
-Проектирование силового электрообо"
1463,1026359,"ООО ""СОЙМИНТЕХ""",ПРОМЫШЛЕННОСТЬ,Робототехника,Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,Не указано,"ООО «Сойминтех» создано 10 января 2017 года. 
Основной вид деятельности: 72.19 Научные исследования и разработки в области естественных и технических наук.
ООО «Сойминтех» специализируется на проектировании и выполнении работ по проектам электроснабжения:
-Проектирование релейной защиты и автоматики;
-Проектирование телемеханизации;
-Проектирование автоматизации;
-Проектирование АСКУЭ;
-Проектирование электроснабжения;
-Проектирование электрического освещения;
-Проектирование силового электрообо"
3692,1063505,"ООО ""СОЛЕННА""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Беспроводная связь,Обработка и преобразование информации,Передача данных,"Решения для беспроводных сетей WAN (LTE, 5G) и LPWAN (NB-IoT, LTE-M, LoRaWan и другие)",Не указано,"Компания разрабатывает технологическое оборудование ALD/CVD с лазерной локальной активацией, для аддитивного формирования топологического рисунка без применения фотошаблонов и фоторезиста.Так же электронную компонентую базу в сегментах терагерцовый диапазон, фотоники, оптоэлектроники, микро оптико электромеханические системы (МЭМС, МОЭМС)."
924,835092,"ООО ""СОЛЕННА""",ПРОМЫШЛЕННОСТЬ,Производство новых материалов,Синтез материальных объектов,Новые производственные процессы,Аддитивные технологии,-,Компания разрабатывает аддитивную технологию для микро и наноструктур ALD/CVD с лазерной локальной активацией. А так же электронную компонентную базу.
2013,1035930,"ООО ""СПБ ЗИП""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Обработка и преобразование информации,Передача данных,"Решения для беспроводных сетей WAN (LTE, 5G) и LPWAN (NB-IoT, LTE-M, LoRaWan и другие)",www.spbzip.ru,"«Петербургский завод измерительных приборов»  является одним из наиболее значимых инновационных предприятий современной России в области производства приборов учета электроэнергии, поскольку первым в стране произвело разработку приборов учета электрической энергии со встроенными модулями связи «Интернет вещей»: по технологии LoRaWAN - в феврале 2016 года; по технологии NB-IoT -  в феврале 2017 года.
Наш завод существует с 2006 года. Деятельность предприятия охватывает все этапы разработки, освое"
1543,1027626,"ООО ""СПБ ЗИП""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Обработка и преобразование информации,Передача данных,"Решения для беспроводных сетей WAN (LTE, 5G) и LPWAN (NB-IoT, LTE-M, LoRaWan и другие)",www.spbzip.ru,"«Петербургский завод измерительных приборов»  является одним из наиболее значимых инновационных предприятий современной России в области производства приборов учета электроэнергии, поскольку первым в стране произвело разработку приборов учета электрической энергии со встроенными модулями связи «Интернет вещей»: по технологии LoRaWAN - в феврале 2016 года; по технологии NB-IoT -  в феврале 2017 года.
Наш завод существует с 2006 года. Деятельность предприятия охватывает все этапы разработки, освое"
1556,1027861,"ООО ""СПЕЦМЕХАНИКА""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,Не указано,"ООО «СПЕЦМЕХАНИКА» специализируется на разработке и проектировании чертежей различного назначения, в том числе и для машиностроения. Транспортное машиностроение требует особого подхода в изготовлении чертежей, поэтому наша компания гарантирует соответствие схем всем необходимым установленным нормам ГОСТа и ЕСКД. Наши знания в сочетании с богатым опытом решения рабочих проблем самого различного характера позволяет нам быть уверенными в полученных на выходе результатах работы над Вашим заказом. Ра"
1295,1024426,"ООО ""СПЕЦМЕХАНИКА""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,Не указано,"ООО «СПЕЦМЕХАНИКА» специализируется на разработке и проектировании чертежей различного назначения, в том числе и для машиностроения. Транспортное машиностроение требует особого подхода в изготовлении чертежей, поэтому наша компания гарантирует соответствие схем всем необходимым установленным нормам ГОСТа и ЕСКД. Наши знания в сочетании с богатым опытом решения рабочих проблем самого различного характера позволяет нам быть уверенными в полученных на выходе результатах работы над Вашим заказом. Ра"
1192,1023305,"ООО ""СПЛАВ-АРМ""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Синтез материальных объектов,Инженерные комплексы,Оборудование для электрохимической и электрофизической обработки материалов,Не указано,"1.Поставка трубопроводной арматуры, насосного оборудования
2.Услуги по проектированию, исследованию и испытаниям
3.Инновационная продукция -  детали трубопроводной арматуры (фланцы) из искробезопасного сплава
4. Инновационная продукция - плунжерный насос управления системами новейших судов"
3135,1054651,"ООО ""СПЛАВ-АРМ""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Синтез материальных объектов,Новые производственные процессы,Процессы металлургии,http://innovation-tech.ru/splav-arm,"1.Поставка трубопроводной арматуры, насосного оборудования
2.Услуги по проектированию, исследованию и испытаниям
3.Инновационная продукция -  детали трубопроводной арматуры (фланцы) из искробезопасного сплава
4. Инновационная продукция - плунжерный насос управления системами новейших судов"
1637,1029232,"ООО ""СПЛАВ-АРМ""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Синтез материальных объектов,Новые производственные процессы,Процессы металлургии,http://innovation-tech.ru/splav-arm,"1.Поставка трубопроводной арматуры, насосного оборудования
2.Услуги по проектированию, исследованию и испытаниям
3.Инновационная продукция -  детали трубопроводной арматуры (фланцы) из искробезопасного сплава
4. Инновационная продукция - плунжерный насос управления системами новейших судов"
364,811175,"ООО ""СПУТНИК""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Обработка и преобразование информации,Обработка и хранение больших данных,"Облачные вычисления, туманные вычисления",https://sputnik.systems/,"Спутник, ООО — IT компания, разрабатывающая одноименное гиперлокальное мобильное приложение для управления многоквартирным домом.Мы развиваем экосистему в 12 странах мира, включающую сервисы по управлению оборудованием (домофоны, камеры, шлагбаумы), финансовые услуги по оплате периодических платежей (ЖКХ, интернет, уборка квартир), внутридомовые чаты для взаимодействия с управляющей компанией и жителям между собой. Наш секретный инструмент — умный домофон, который приносит нам пользователей моби"
2493,1044003,"ООО ""СПУТНИК""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Искусственный интеллект,Компьютерное зрение и обработка изображений,http://sputnik.systems/,"Спутник, ООО — IT компания, разрабатывающая одноименное гиперлокальное мобильное приложение для управления многоквартирным домом и производитель многофункционального умного домофона. Домофон Спутник, снимает все происходящее перед входом в подъезд, подсоединяется к интернету, звонит жильцам прямо на телефон и сам сообщает о поломках в сервисную службу. Домофон оснащен камерой с инфракрасной подсветкой: видеонаблюдение ведется днем и ночью.
Мы развиваем экосистему в 12 странах мира, включающую се"
1401,1025632,"ООО ""СПУТНИКС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,Инженерно-техническое проектирование,Обработка и преобразование информации,Передача данных,Технологии оптимизации передачи данных,www.sputnix.ru,"Российская частная компания-производитель высокотехнологичных спутниковых компонентов и технологий для малых космических аппаратов, а также сервисов на их основе. Компания работает с 2011 года. ООО ""СПУТНИКС"" - компания полного цикла в области проектирования, производства приборов и спутников и их эксплуатации на орбите В основе всех наших ключевых разработок лежат отечественные технологии, собственный задел и опыт, а также перспективные наработки."
3076,1053716,"ООО ""СПУТНИКС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,Инженерно-техническое проектирование,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,www.sputnix.ru,"Российская частная компания-производитель высокотехнологичных спутниковых компонентов и технологий для малых космических аппаратов, а также сервисов на их основе. Компания работает с 2011 года. ООО ""СПУТНИКС"" - компания полного цикла в области проектирования, производства приборов и спутников и их эксплуатации на орбите В основе всех наших ключевых разработок лежат отечественные технологии, собственный задел и опыт, а также перспективные наработки."
2048,1036519,"ООО ""СПУТНИКС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,Инженерно-техническое проектирование,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,www.sputnix.ru,"Российская частная компания-производитель высокотехнологичных спутниковых компонентов и технологий для малых космических аппаратов, а также сервисов на их основе. Компания работает с 2011 года. ООО ""СПУТНИКС"" - компания полного цикла в области проектирования, производства приборов и спутников и их эксплуатации на орбите В основе всех наших ключевых разработок лежат отечественные технологии, собственный задел и опыт, а также перспективные наработки."
1629,1029073,"ООО ""СПУТНИКС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,Инженерно-техническое проектирование,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,www.sputnix.ru,"Российская частная компания-производитель высокотехнологичных спутниковых компонентов и технологий для малых космических аппаратов, а также сервисов на их основе. Компания работает с 2011 года. ООО ""СПУТНИКС"" - компания полного цикла в области проектирования, производства приборов и спутников и их эксплуатации на орбите В основе всех наших ключевых разработок лежат отечественные технологии, собственный задел и опыт, а также перспективные наработки."
406,811220,"ООО ""СРМ СОЛЮШНС""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Обработка и хранение больших данных,"Методы и способы визуализации, представления и использования больших данных человеком",https://konnektu.ai,"Компания KonnektU, разрабатывает единую martech платформу KonnektU CDP для управления клиентскими данными и автоматизации коммуникации: быстро, системно, безопасно. Помогает маркетинг-, диджитал-, IT директорам и аналитикам ведущих мировых компаний из разных отраслей (имеющих online и offline-бизнес, продающих продукты/сервисы для конечных потребителей, а также компаниям с широкой торговой сетью) объединять данные о потребителях/ представителях, создавая единый ID-клиента, сегментировать и обраб"
3411,1059101,"ООО ""СРМ СОЛЮШНС""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Синтез информации,Искусственный интеллект,Технологии поиска и оптимизации,https://konnektu.ai/,"ООО ""СРМ Солюшнс"" предоставляет сервисы по работе с клиентскими данными, также предоставляет услуги автоматизации маркетинга для крупных компаний из сегментов FMCG, Retail, Development, Auto, DIY и тд. с большим количеством клиентов. Помимо этого, компания проводит работы по сбору и анализу данных о потребителях для обогащения, персонализации и автоматизации маркетинга на основе технологий Big Data, ML и BI."
1879,1033376,"ООО ""СТАЛЬ""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Новые производственные процессы,Процессы металлургии,www.nord-s.com,"Воронежский Механический завод «СТАЛЬ» был основан в мае 2007 года - запущена линия с использованием токарных автоматов, токарно-револьверных и фрезерных обрабатывающих центров с ЧПУ для производства комплектующих систем выхлопа двигателя на конвейеры ОАО «Автодизель» и ОАО «КАМАЗ».
Производственные мощности завода – это более 50 единиц современного промышленного оборудования, производства России, США и Тайвань, размещенного на общей площади 1500 кв. метров, позволяющие обеспечивать стабильный в"
2709,1047689,"ООО ""СТАЛЬ""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Новые производственные процессы,Процессы металлургии,www.nord-s.com,"Воронежский Механический завод «СТАЛЬ» был основан в мае 2007 года - запущена линия с использованием токарных автоматов, токарно-револьверных и фрезерных обрабатывающих центров с ЧПУ для производства комплектующих систем выхлопа двигателя на конвейеры ОАО «Автодизель» и ОАО «КАМАЗ».Основной продукт в металлургическом направлении – это резак, применяемый для оснащения машин газовой резки в машинах непрерывного  литья заготовок (МГР МНЛЗ).Производственные мощности завода – это более 50 единиц совр"
1375,1025353,"ООО ""СТАЛЬКОНСТРУКЦИЯ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Обработка и преобразование информации,Обработка и хранение больших данных,Технологии организации и синхронизации данных,http://www.innovation-tech.ru/stal-konstrukciya/,"Продукция металлообработки, электронные приборы и аппаратура, соединитель оптоволоконный, сервис IoT мониторинга и управления техническим состоянием энергетического оборудования по фактическому состоянию"
2179,1038779,"ООО ""СТАЛЬКОНСТРУКЦИЯ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Обработка и преобразование информации,Обработка и хранение больших данных,Технологии организации и синхронизации данных,http://www.innovation-tech.ru/stal-konstrukciya/,"Продукция металлообработки, электронные приборы и аппаратура, соединитель оптоволоконный, сервис IoT мониторинга и управления техническим состоянием энергетического оборудования по фактическому состоянию"
1342,1024942,"ООО ""СТИН""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Синтез материальных объектов,Новые производственные процессы,Технологии литья,http://www.innovation-tech.ru/ooo-stin,"ООО ""СТИН"" создано15.06.2012г. Область деятельности предприятия научно-исследовательская деятельность.
Вид выпускаемой продукции: Стандартные шлифовальные круги, стандартные обрезные круги, стандартные заточные круги, двухслойные отрезные круги, поставка оборудования, продажи трубопроводной арматуры."
2970,1052031,"ООО ""СТИН""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Синтез материальных объектов,Новые производственные процессы,Процессы металлургии,http://www.innovation-tech.ru/ooo-stin,"ООО ""СТИН"" создано15.06.2012г. Область деятельности предприятия научно-исследовательская деятельность.
Вид выпускаемой продукции: Стандартные шлифовальные круги, стандартные обрезные круги, стандартные заточные круги, двухслойные отрезные круги, поставка оборудования, продажи трубопроводной арматуры."
